sex mass
females 17.82
males 22.1
females 21.47
males 20.77
females 21.8
males 25.96
females 18.82
males 20.77
females 22.35
males 21.73
females 19.31
males 17.01
females 17.62
males 26.26
females 20.4
males 21.07
females 22.09
males 25.06
females 15.87
males 21.42
females 20.68
males 24.01
females 19.15
males 23.26
females 22.58
males 21.11
females 22.16
males 23.61
females 21.2
males 20.58
females 20.67
males 21.17
females 23.42
males 21.5
females 18.2
males 23.44
females 20.01
males 23.29
females 24.21
males 22.42
females 18.23
males 22.83
females 22.96
males 21.5
females 22
males 25.26
