genename Y101_A Y101_B Y101_C Y102_A Y102_B Y102_C Y201_A Y201_B Y201_C Y202_A Y202_B Y202_C Y1015_A Y1015_B Y1015_C
SSC5D 1409584.72525195 1552580.0522601 536117.35284641 753761.547199248 665310.560633541 431819.507991191 2169097.5977295 786094.168311202 389364.044492764 844748.429180404 272482.209873099 279617.012829861 153479.580502421 338022.090852514 242911.2908217
MAP1LC3B2 136452.724500073 184299.535104874 134388.968301864 65005.8474380121 19434.1262911676 204942.877318965 144400.884811179 2543.7314560351 2558.38249510863 258888.121239323 506903.571572115 49975.3520540959 301019.866261647 316696.984422282 57515.2318079525
PGP 59437.7864811298 131042.788853954 90105.9759478336 69030.790845165 184459.277918052 126446.092600928 57172.3403000761 62749.6730699391 12564.8110679885 131257.301074092 128226.139376734 126877.921811111 308641.195335463 400931.95029416 268930.619462602
DDTL 302658.860399006 438469.968090942 198633.509531949 175374.661696309 87848.7853023483 118087.550046715 350183.791327201 115037.082187293 15421.9798902215 343282.732908398 381027.673288925 92167.5371561054 644343.496887708 1150813.68526285 138844.833387821
DNASE2 45909.256006206 117149.276880809 24142.716334157 76408.1711087716 56617.5794012161 90202.6466225794 35672.6280840282 31556.1139880737 55092.8750340739 67799.4538007272 259267.09277772 96938.0305137182 266573.364772663 647602.040202328 85493.242645023
PDLIM1 946921.726811183 942637.949288972 626956.813603381 3382538.96429416 2492622.0374477 5622230.33653237 630570.673010891 660484.522757245 474049.532648009 3867722.12845933 2548613.68743304 3532370.22873203 2266175.01904052 2569040.03440529 1942841.34459137
ACOT7 489256.823550334 387590.858252652 263609.603614545 301661.434925742 363635.212638559 629287.967326551 268299.755252534 367160.149962796 46323.2519453579 445213.954920882 742661.686909283 226546.646782612 837211.880862884 456108.991662361 344820.675542167
PSMD12 56772.4709929451 36999.0750502409 190712.644023282 16630.090460165 250226.580411374 444304.81730852 81151.852780321 23621.754936796 5004.94850390259 51146.5204952419 364269.841647661 201432.921366063 61021.939984191 37431.4622446938 198185.964013787
PSMD9 242062.363535104 275848.414774212 269932.5023286 505839.751752569 344891.425734797 488411.094199434 314946.654554241 507798.56805562 85349.5600965085 305153.150273117 275931.117663494 254352.392077408 626635.022366934 879888.688577179 347231.022919592
ATOX1 1339950.67397686 936900.441830134 724179.795253835 1226921.62917189 656414.721666305 1168115.79943148 688967.447684786 1443352.16807589 114234.511580344 1050118.27876021 519051.904027476 503355.004600504 2278435.48478894 1776899.57640358 792661.724095502
CLIC1 20382960.5062231 8288785.45314165 9822967.7078139 10730883.4275675 19894292.4344363 28800056.3562355 9861488.40073106 9607529.74310194 17036138.2087608 14907031.9437872 26360632.6251051 24376368.6904659 25667477.8908806 18422600.518292 25015592.2077197
TNFRSF11B 3606249.10519408 5839478.59512497 15391638.2400773 4386843.90459908 3377248.01880498 2584666.83607795 21238132.6148448 39880726.5578707 34002738.814267 1970042.72341517 1557160.72799931 1777832.56236797 1953589.01310579 1835799.80929868 3278657.24528942
MATN2 286622.809742375 335603.91209478 96288.282806153 1419219.90364948 521303.646581943 1723394.2085304 144717.009219862 171644.797096285 114660.279306935 1596613.36945698 785907.921299546 1911812.04037889 208261.930625985 244823.224824955 209762.26717356
QSOX1 58776065.5369551 89370050.8287313 25234525.6905383 42227376.6525623 31274637.7448231 35460186.7010397 55179176.5069085 83374407.8217586 28267908.9319542 56046558.7982271 37080689.2567742 22077478.6144133 50933497.4353476 47539122.3556408 32359777.2170709
IPO5 1334469.5082033 551511.542219368 913559.725241628 501276.734162713 1777196.89942405 1739021.1879527 1468230.6486652 623627.654851378 155838.164158123 1586851.7797883 2994342.4462484 1183465.88238818 1302009.00798959 512607.780475529 1600297.32666543
MANBA 200095.906331493 149036.862636327 88063.9029784036 194470.445434111 221954.851666741 279747.758801392 113985.949885565 82164.4975162838 9954.13857440934 309775.370069335 247026.449122562 171890.543047282 293164.002432403 350725.049904835 138685.205716832
AGRN 714777.009800044 924512.939692876 568121.32069 510241.717783857 15657493.4709253 27266371.8910235 5415013.11555111 2753614.70565816 1009096.65779378 1823758.06248512 11739967.8659063 28038574.8536827 313065.96101476 309641.388942147 5855202.16193614
PLOD2 2817850.37701693 3427866.07145015 1812168.04301503 2763593.92886857 6148808.38964002 14096835.593774 946444.769916767 790228.551888744 488926.079282932 6023755.43833182 6746387.06630662 10034057.0378304 4022167.54546908 3325661.58661893 3679933.48539761
SDCBP 506443.911626182 824079.86011687 396628.048382259 952463.335076007 340162.692562769 179386.530600992 556805.222080739 1147417.22837844 119850.433299639 174884.460424564 643146.905329366 201768.876244371 293621.905329199 304736.227869011 181883.070067975
RNASET2 406756.667435725 364517.746881744 253803.26393446 203610.407418649 355189.700792685 441315.214047977 252747.031289275 142070.867065998 110030.691624003 471890.512052663 512921.649899156 365323.91041686 899897.424603252 1082280.51269104 1235866.087771
CYR61 23640776.4168178 17692079.8921262 9265216.68770204 16963123.4252335 16671159.6395941 58941087.5852645 18770969.969715 9856204.25852394 8303322.47887702 34125951.1430461 44272015.0405927 29106383.6072377 28453983.8432296 36840807.3355701 39019919.6131897
PDXK 188775.007010541 130664.852988341 77960.5088029253 165649.751516858 142659.163682726 196550.1361677 81187.9426013619 40684.4857224443 43856.759938456 189911.964112496 157055.397912822 99670.8748226788 255087.659290426 195382.897529615 137687.55186684
ISLR 12146499.536407 10637432.3648983 2962422.6199001 795761.454896413 225431.833463274 524870.406786596 887632.377603808 108796.019318319 1415489.92282287 668082.231732329 184197.40067653 282487.158931874 337198.914421867 409265.946230754 1037885.23095538
HSPB6 183765.261054626 140998.470266115 1338598.68708003 304770.935775963 102095.050558356 40945.5510336187 744105.007255506 1478903.33807395 688214.232962313 53060.7571248492 24915.7972301521 45823.0848513206 95035.654767538 109772.49297479 129115.030871372
COPE 352145.123917815 455164.648926235 630355.477267949 482987.215250172 808314.297840026 1026528.68307751 518516.975944734 411960.47406305 181918.895549139 540282.999543626 769741.596880492 580583.441335877 946452.206167946 817724.801389361 659045.674851034
ADAM10 2579327.27489392 4845777.24470924 3000049.17889025 2794196.43150954 3288618.23868076 3749911.45092197 2526315.92684072 4048116.43246176 4505279.98014864 2703732.2186938 3536219.39920927 3242180.68557471 2418366.9220689 3376028.12565797 2035479.29484595
SLC9A3R1 954925.946914868 1022611.91423455 726488.191620232 285720.054660843 812270.142505941 1156305.23142549 1780941.40003951 480467.937400636 231860.588059085 410057.0107072 665529.20126062 744426.124857431 470782.017090369 701856.823833463 610246.771423704
TPP1 2002203.96148885 1457994.65762005 765272.999523311 1899545.62001578 1870398.35460135 1063243.92352619 1514504.53106974 1364851.2430232 852966.313608357 3067118.43062484 1645793.19569687 1536920.30221324 2239688.24690882 7102904.98507646 1793607.62639166
NRP1 6549124.13382953 6493236.8030616 1262534.28609248 1616704.97415879 2085750.72094216 842900.301864625 3198011.77004087 2731686.94791756 876891.916044305 3954154.70990641 1568079.50255441 761022.56912298 755327.826561653 648419.185686167 758977.568401476
HGS 26381.6365925871 121930.236673044 164698.27232136 120521.60835645 295730.716375956 435991.650267167 33848.7691623255 67804.5645030488 17307.4405767679 133403.8842405 177417.263862714 184425.915628526 732062.8287367 253428.39989438 283480.925434181
HNRNPDL 186469.73074941 301389.379990483 232852.961406025 462347.831607445 220339.169783559 436570.205461526 151662.951972404 491745.123641656 7652.55760330797 324727.080874903 1142045.8327973 281320.388496514 293559.462372622 380670.86272461 158078.261443968
LAMA5 61302.5256976019 102039.58089973 109316.771173984 117890.416656234 228789.90754205 450662.936221799 1648512.93822635 1150249.61072432 71749.2883362234 112092.286845047 128152.801490529 656077.329556605 58023.7736986566 51999.8473819479 60305.5137487896
STX7 135018.341266142 204910.066681805 109394.302607533 215490.551804068 89880.674220134 61939.6241116256 125565.076484071 105498.19158297 109046.883241892 158266.185392346 95774.5731510656 44072.9784851352 412648.974943862 606291.879716653 128940.011937826
ARPC5 1264142.46740277 568590.194869955 811157.30616792 1386043.04740801 943864.466839473 1908178.02251069 789604.168640302 1063736.5441556 417246.133238156 1749355.22539746 1271900.56886397 1235852.55638371 1815914.18609 1337095.48991618 1393387.37121905
FLRT2 38795.5444986352 50190.4178319987 42328.0928318187 107489.254792437 62492.0903163203 73972.2436606586 36547.3696309174 36660.6577000426 12461.5956837959 99836.0560784691 193535.047681577 69486.4432045734 130616.887597468 157604.787313212 114485.757641012
PHGDH 51141.3821291792 110004.042207408 78611.6459860882 60011.7957443389 65926.5391787326 100239.233875571 175537.007131523 7416.28466654471 7230.87700524891 56252.6258967701 148693.406153525 81956.7368729677 188134.278868984 236691.330776453 37748.9350061005
ADAM12 114009.06144799 241314.716497715 112081.464053297 114955.889174563 163524.32006915 144028.597910784 89954.4112807004 92831.717368216 172127.374796023 181058.959856123 56737.2681803087 186400.768410181 59169.6035127281 51710.6019488567 225218.950992237
DYNC1LI2 11779.6229379245 3547.85431464063 0 44072.5091666446 0 47827.2884491509 13326.8357475041 45206.9305852055 0 33408.4687955938 3874.0397505688 4652.37397500138 56242.1741945536 113304.178770777 1351.67150630427
TXNL1 467468.194287476 516585.590840619 539120.911827516 392047.593064884 642206.780458041 800164.556474333 291679.271824786 483174.884825384 93088.9602655281 384881.379605933 344007.482977902 456312.95028708 626876.198090614 269634.073178021 513398.333140451
TPD52L2 2575264.48422604 1741292.36148019 1990541.67479622 2973831.0203632 1517563.35435169 3704942.02176795 2312001.73966087 3392715.36489966 954363.306731451 2505079.62089298 1421522.41658886 1481897.24005587 4113825.63877531 3069590.18045215 2248112.33105359
EPB41L2 107841.474342627 135070.346903275 176994.250412076 140176.852364519 515392.845647491 219353.696106643 124532.670683362 94571.073472991 116621.557961208 134170.145614207 334659.745705735 181403.164723751 747642.712066033 1551591.44831117 2130012.53464531
TGOLN2 102188.507222587 153561.72478485 129533.357075184 55869.5136464447 186359.997305141 216063.371317341 60951.9289029746 86189.2571058203 108922.274797772 13511.9587174828 246788.837403826 218555.215681736 267022.521829669 520091.842042967 362974.810395923
CA12 105972.000357176 166349.734095301 37192.0701022265 26279.1099450599 6180.259305203 1221.83259779723 111789.631280262 215.86796860954 53237.6316219301 3121.84062478009 597.107162084106 1643.81590916767 4422.03120309569 8228.87665591411 11358.7827458111
ACTN4 18916946.9738396 31466882.3554456 18023099.7230118 24447492.444389 10413323.0926355 23025869.6752849 30869527.2436156 18492121.6626252 11306847.3450609 38566806.2724796 63859957.7422915 13521152.1211039 40580916.5005748 49918727.430081 15331978.0196266
SGTA 27161.4577741929 20267.2247750287 33947.7396306219 36794.3993302542 43690.4281520781 66909.833030776 12599.7673235924 53896.4400088 4899.3860731096 48888.2610819275 54941.6846113419 55443.4106241179 74557.9909622147 48246.3915330587 49482.858765721
NARS 335345.321310629 158347.132227867 219355.946975608 375864.1785097 157592.379842407 563964.806938383 376722.644543301 218063.588276746 26564.404870011 370889.657345095 565467.025758871 374860.965363324 1490476.58231079 1429844.06049016 204045.400292001
CALU 11696497.5697317 7469831.61094444 6026583.24014722 13192530.7259182 10137040.0299461 13660004.7575331 8400860.34525379 9954749.66725221 914976.656947912 25580516.5367194 18949749.3037924 8189862.65347274 15525657.8911031 12820731.0292243 9791399.49369757
EDIL3 2037379.8705754 1479104.85894397 214338.390361635 1939658.75424134 583242.419677796 980524.227895201 1181875.0034969 512501.251671176 232973.786390318 3719850.97042138 1324686.36706677 483626.463938714 330979.011193549 251700.88374054 326894.114109376
SYNCRIP 2196636.71137572 3639085.56773925 2465485.13205922 3847226.16949494 2509887.66307182 2706762.15388565 2204417.81153491 4756141.87835256 3326955.63006924 3295389.8380508 2352377.07829525 2005218.31370393 4206615.80279771 4601814.53401538 1792068.93668668
PLOD3 4084673.71384038 5465210.3890911 2447726.42132592 3340233.61216531 3022792.5403926 5380676.26812645 2023875.79904577 2596511.93596525 2028200.94535478 7172463.87451997 5571605.98920504 5398079.73391896 3440449.05580868 3276606.356882 3275844.39658372
PLIN3 3474774.58887747 1706103.69859232 3479991.90932649 1206757.15019716 2059290.15173396 3189146.69170785 2394229.06098085 2067598.79418758 1368781.15870543 2045259.69873823 1552696.38549474 1450496.01857681 2343378.97468774 2415011.06976588 3607055.00551044
SRPX2 1891814.50078566 2490492.85208251 267760.274852441 1974142.99009538 2170839.14264357 2789008.09513828 854174.711641426 359276.989639625 922986.920653361 3662621.38898559 4252000.51522793 2098593.48753132 4685187.07653886 2923531.00085165 4118912.36545467
UGDH 1392254.69181887 1753943.20913598 1322862.08468224 1148099.82258392 1643083.12010291 2286771.12109691 918149.671245988 1707418.55136823 928089.486624277 812899.029110717 1456702.12228313 1348853.78295435 2055938.2417228 1080107.11071378 915738.356998233
CTNND1 127568.248846103 96209.2312232978 47829.8434410718 116481.571829392 58292.4763191526 50643.1919190088 43213.9103770995 6262.46399492388 17789.2230502402 85446.6608481988 90378.0093428603 29647.0199070373 241258.068969308 262378.082828336 40167.1842054998
TOM1 85411.6361680548 79926.9947381345 97423.8640092942 138342.31107311 112492.286617937 150276.231362721 65897.6340278696 82116.5028858822 11257.6498879557 129189.147145012 74396.0840108104 112639.231898119 283364.612424689 367753.323268147 91378.542495227
WDR1 24495093.8392628 10857635.373166 12017272.9334741 11380559.0330475 18700491.0067093 26915439.3520726 14306858.7117121 11418064.0123269 6819056.79402827 31114775.3526488 34226001.8957521 19579255.3086933 39876978.1358326 33260643.4437306 26737304.4007813
MEGF6 3341370.15327965 3505060.12941027 1383489.61426438 3417454.76098943 1207729.45505424 1861132.23662473 1894633.50037426 1612785.77077437 408804.050805767 3954856.18784929 2719014.17793541 1392365.1297165 547049.429994781 638167.925882213 641458.919177166
GGCT 331842.414541165 538797.19577818 457268.52963995 598885.010995933 308278.389114542 359817.788633866 471872.572084748 391561.416046493 33170.4032628803 471294.343303347 561790.102163103 223569.888460887 1396950.8788426 1409987.39252011 635475.983600959
SEMA7A 14333146.2306121 11483370.208476 3071272.68685884 2611232.12504732 2611629.01326813 2214640.64114489 2810462.24539645 4260348.10024987 2830264.47186422 7056211.16474591 4140002.56558463 1257851.23367586 2355011.52956386 1934687.32625477 3496732.55510829
TBCA 3197288.70322761 2808087.66325521 3646940.71331339 4185424.37764927 4673064.0546648 3861231.97784024 2237354.97825985 3978075.96276295 1253578.22341758 2857980.57302077 4071250.16573962 4091004.19200955 6049401.51216352 6775134.55904138 5089146.25798466
ATP6V1G1 27990.469819832 54842.4493101938 23160.7271997052 125808.422500781 35168.6655089932 62591.2234768728 22218.528379814 25364.4742670035 2497.41450579611 70720.3172763059 19707.3280593006 72931.1393599264 183367.456904015 174938.984188752 22224.04538939
SH3BGRL 993576.675510621 733817.672957728 1128685.01524577 1008654.41284205 1178119.81532592 817473.85406032 914345.469406044 454297.294071413 173603.433084045 527786.700997433 1683434.46359131 782837.057311704 3001234.49517518 3111728.05075152 2134285.48725991
FLNB 13900542.8803485 16870486.1909699 16557120.0690214 20094733.5132528 15127482.9036422 19965449.006743 8282248.00265996 12130349.0051804 7100938.38888587 29459276.1403529 30136780.4189403 15932379.9842065 41871139.3217509 42099758.533795 27939701.958766
CS 196834.751893331 174122.492475111 20489.2095950589 69178.4842413452 127138.084094472 148175.191747219 188526.768194632 35296.2037207121 0 556098.074936849 317408.414514696 56026.3373688787 187708.679445906 148554.191249169 44616.9022710296
CSDE1 418.854284021452 661.156734120184 140.182526112608 4430.35908712755 3740.47672703992 4234.50184720619 410.336873231609 16451.1955325445 706.894750720169 3883.84414570735 2859.20093213255 264.747194519777 22429.0303016076 3648.61264277702 0
